Site,scode,rep,year,seasn,occasion,spid,species,indiv
1,s1,1a,2006,J,J06,26,Camponotus sp. 1,2
1,s1,1a,2006,J,J06,38,Crematogaster sp. 6,8
1,s1,1a,2006,J,J06,45,Lepisiota sp. 1,2
1,s1,1a,2006,J,J06,62,Monomorium sp. 1,39
1,s1,1a,2006,J,J06,61,Monomorium musicum,4
1,s1,1b,2006,J,J06,26,Camponotus sp. 1,3
1,s1,1b,2006,J,J06,62,Monomorium sp. 1,23
1,s1,1b,2006,J,J06,85,Pheidole un01,2
1,s1,1b,2006,J,J06,92,Pyramica un01,2
1,s1,1c,2006,J,J06,30,Camponotus un01,6
1,s1,1c,2006,J,J06,26,Camponotus sp. 1,21
1,s1,1c,2006,J,J06,85,Pheidole un01,2
1,s1,1c,2006,J,J06,103,Tetramorium fridgidum,2
1,s1,1c,2006,J,J06,125,Tetramorium un12,38
1,s1,1d,2006,J,J06,26,Camponotus sp. 1,11
1,s1,1d,2006,J,J06,45,Lepisiota sp. 1,1
1,s1,1d,2006,J,J06,62,Monomorium sp. 1,62
1,s1,1d,2006,J,J06,103,Tetramorium fridgidum,1
1,s1,1d,2006,J,J06,125,Tetramorium un12,85
2,s2,2a,2006,J,J06,134,Camponotus havilandi,2
2,s2,2a,2006,J,J06,30,Camponotus un01,10
2,s2,2a,2006,J,J06,140,Camponotus irredux,12
2,s2,2a,2006,J,J06,38,Crematogaster sp. 6,2
2,s2,2a,2006,J,J06,62,Monomorium sp. 1,1
2,s2,2a,2006,J,J06,66,Monomorium sp. 3,67
2,s2,2a,2006,J,J06,75,Pachycondyla peringueyi,6
2,s2,2a,2006,J,J06,94,Solenopsis sp. 2,28
2,s2,2a,2006,J,J06,103,Tetramorium fridgidum,6
2,s2,2a,2006,J,J06,125,Tetramorium un12,10
2,s2,2a,2006,J,J06,117,Tetramorium sp. 30,1
2,s2,2b,2006,J,J06,31,Camponotus un10,2
2,s2,2b,2006,J,J06,27,Camponotus sp. 3,1
2,s2,2b,2006,J,J06,30,Camponotus un01,4
2,s2,2b,2006,J,J06,26,Camponotus sp. 1,2
2,s2,2b,2006,J,J06,140,Camponotus irredux,9
2,s2,2b,2006,J,J06,55,Lepisiota un05,1
2,s2,2b,2006,J,J06,62,Monomorium sp. 1,1
2,s2,2b,2006,J,J06,61,Monomorium musicum,1
2,s2,2b,2006,J,J06,73,Myrmicaria sp. 1,10
2,s2,2b,2006,J,J06,75,Pachycondyla peringueyi,15
2,s2,2b,2006,J,J06,94,Solenopsis sp. 2,2
2,s2,2b,2006,J,J06,103,Tetramorium fridgidum,11
2,s2,2c,2006,J,J06,26,Camponotus sp. 1,37
2,s2,2c,2006,J,J06,62,Monomorium sp. 1,1
2,s2,2c,2006,J,J06,103,Tetramorium fridgidum,8
2,s2,2c,2006,J,J06,125,Tetramorium un12,3
2,s2,2d,2006,J,J06,30,Camponotus un01,1
2,s2,2d,2006,J,J06,26,Camponotus sp. 1,105
2,s2,2d,2006,J,J06,62,Monomorium sp. 1,1
2,s2,2d,2006,J,J06,103,Tetramorium fridgidum,10
2,s2,2d,2006,J,J06,125,Tetramorium un12,12
3,s3,3a,2006,J,J06,26,Camponotus sp. 1,1
3,s3,3a,2006,J,J06,140,Camponotus irredux,3
3,s3,3a,2006,J,J06,45,Lepisiota sp. 1,1
3,s3,3a,2006,J,J06,54,Lepisiota un03,1
3,s3,3a,2006,J,J06,56,Leptogenys intermedia,2
3,s3,3a,2006,J,J06,71,Monomorium un01,9
3,s3,3a,2006,J,J06,61,Monomorium musicum,6
3,s3,3a,2006,J,J06,76,Pachycondyla pumicosa,2
3,s3,3a,2006,J,J06,93,Solenopsis sp. 1,3
3,s3,3a,2006,J,J06,94,Solenopsis sp. 2,28
3,s3,3a,2006,J,J06,135,Streblognathus peetersi,2
3,s3,3a,2006,J,J06,103,Tetramorium fridgidum,4
3,s3,3a,2006,J,J06,125,Tetramorium un12,2
3,s3,3a,2006,J,J06,111,Tetramorium sp. 10,1
3,s3,3b,2006,J,J06,31,Camponotus un10,6
3,s3,3b,2006,J,J06,35,Cerapachys sp. 3,1
3,s3,3b,2006,J,J06,45,Lepisiota sp. 1,16
3,s3,3b,2006,J,J06,50,Lepisiota sp. 3,11
3,s3,3b,2006,J,J06,62,Monomorium sp. 1,4
3,s3,3b,2006,J,J06,76,Pachycondyla pumicosa,1
3,s3,3b,2006,J,J06,136,Pachycondyla wroughtonii,17
3,s3,3b,2006,J,J06,83,Pheidole sp. 4,21
3,s3,3b,2006,J,J06,94,Solenopsis sp. 2,1
3,s3,3b,2006,J,J06,135,Streblognathus peetersi,1
3,s3,3b,2006,J,J06,103,Tetramorium fridgidum,16
3,s3,3c,2006,J,J06,26,Camponotus sp. 1,1
3,s3,3c,2006,J,J06,30,Camponotus un01,13
3,s3,3c,2006,J,J06,26,Camponotus sp. 1,7
3,s3,3c,2006,J,J06,140,Camponotus irredux,18
3,s3,3c,2006,J,J06,45,Lepisiota sp. 1,12
3,s3,3c,2006,J,J06,54,Lepisiota un03,1
3,s3,3c,2006,J,J06,50,Lepisiota sp. 3,4
3,s3,3c,2006,J,J06,45,Lepisiota sp. 1,18
3,s3,3c,2006,J,J06,46,Lepisiota sp. 10,8
3,s3,3c,2006,J,J06,56,Leptogenys intermedia,2
3,s3,3c,2006,J,J06,71,Monomorium un01,1
3,s3,3c,2006,J,J06,76,Pachycondyla pumicosa,3
3,s3,3c,2006,J,J06,94,Solenopsis sp. 2,1
3,s3,3c,2006,J,J06,135,Streblognathus peetersi,7
3,s3,3c,2006,J,J06,103,Tetramorium fridgidum,3
3,s3,3c,2006,J,J06,102,Tetramorium frenchi,69
3,s3,3d,2006,J,J06,45,Lepisiota sp. 1,16
3,s3,3d,2006,J,J06,50,Lepisiota sp. 3,11
3,s3,3d,2006,J,J06,61,Monomorium musicum,17
3,s3,3d,2006,J,J06,76,Pachycondyla pumicosa,4
3,s3,3d,2006,J,J06,83,Pheidole sp. 4,3
3,s3,3d,2006,J,J06,143,Plectroctena mandibularis,1
3,s3,3d,2006,J,J06,93,Solenopsis sp. 1,1
3,s3,3d,2006,J,J06,94,Solenopsis sp. 2,11
3,s3,3d,2006,J,J06,135,Streblognathus peetersi,2
3,s3,3d,2006,J,J06,103,Tetramorium fridgidum,14
4,s4,4a,2006,J,J06,27,Camponotus sp. 3,3
4,s4,4a,2006,J,J06,134,Camponotus havilandi,3
4,s4,4a,2006,J,J06,30,Camponotus un01,16
4,s4,4a,2006,J,J06,50,Lepisiota sp. 3,13
4,s4,4a,2006,J,J06,45,Lepisiota sp. 1,13
4,s4,4a,2006,J,J06,56,Leptogenys intermedia,2
4,s4,4a,2006,J,J06,59,Messor sp. 1,8
4,s4,4a,2006,J,J06,71,Monomorium un01,6
4,s4,4a,2006,J,J06,61,Monomorium musicum,1
4,s4,4a,2006,J,J06,85,Pheidole un01,12
4,s4,4a,2006,J,J06,83,Pheidole sp. 4,46
4,s4,4a,2006,J,J06,94,Solenopsis sp. 2,9
4,s4,4a,2006,J,J06,135,Streblognathus peetersi,8
4,s4,4a,2006,J,J06,103,Tetramorium fridgidum,23
4,s4,4a,2006,J,J06,101,Tetramorium bothae,11
4,s4,4a,2006,J,J06,124,Tetramorium sp. 8,2
4,s4,4b,2006,J,J06,134,Camponotus havilandi,3
4,s4,4b,2006,J,J06,30,Camponotus un01,17
4,s4,4b,2006,J,J06,140,Camponotus irredux,8
4,s4,4b,2006,J,J06,29,Camponotus sp. 8,3
4,s4,4b,2006,J,J06,45,Lepisiota sp. 1,1
4,s4,4b,2006,J,J06,50,Lepisiota sp. 3,4
4,s4,4b,2006,J,J06,45,Lepisiota sp. 1,5
4,s4,4b,2006,J,J06,56,Leptogenys intermedia,32
4,s4,4b,2006,J,J06,59,Messor sp. 1,4
4,s4,4b,2006,J,J06,78,Paratrechina sp. 1,3
4,s4,4b,2006,J,J06,136,Pachycondyla wroughtonii,8
4,s4,4b,2006,J,J06,85,Pheidole un01,103
4,s4,4b,2006,J,J06,94,Solenopsis sp. 2,8
4,s4,4b,2006,J,J06,135,Streblognathus peetersi,1
4,s4,4b,2006,J,J06,103,Tetramorium fridgidum,6
4,s4,4b,2006,J,J06,101,Tetramorium bothae,24
4,s4,4b,2006,J,J06,113,Tetramorium sp. 18,5
4,s4,4c,2006,J,J06,134,Camponotus havilandi,9
4,s4,4c,2006,J,J06,30,Camponotus un01,12
4,s4,4c,2006,J,J06,45,Lepisiota sp. 1,23
4,s4,4c,2006,J,J06,59,Messor sp. 1,3
4,s4,4c,2006,J,J06,83,Pheidole sp. 4,10
4,s4,4c,2006,J,J06,88,Plagiolepis un02,3
4,s4,4c,2006,J,J06,94,Solenopsis sp. 2,38
4,s4,4c,2006,J,J06,135,Streblognathus peetersi,6
4,s4,4c,2006,J,J06,103,Tetramorium fridgidum,8
4,s4,4c,2006,J,J06,101,Tetramorium bothae,12
4,s4,4c,2006,J,J06,113,Tetramorium sp. 18,21
4,s4,4d,2006,J,J06,134,Camponotus havilandi,3
4,s4,4d,2006,J,J06,30,Camponotus un01,3
4,s4,4d,2006,J,J06,45,Lepisiota sp. 1,6
4,s4,4d,2006,J,J06,45,Lepisiota sp. 1,5
4,s4,4d,2006,J,J06,56,Leptogenys intermedia,10
4,s4,4d,2006,J,J06,59,Messor sp. 1,1
